;date;avg_ticket_amount_a;num_customers_a;num_transactions_a;total_sales_a
;26 Mar 2019;10.8;22;27;291.7
;27 Mar 2019;13.42;14;18;241.6
;28 Mar 2019;15.15;13;17;257.6
;29 Mar 2019;13.56;25;30;406.9
;31 Mar 2019;10.17;13;17;172.9
;01 Apr 2019;10.97;18;22;241.3
;02 Apr 2019;18.09;29;34;615.0
;03 Apr 2019;17.89;18;22;393.5
;04 Apr 2019;11.92;20;24;286.2
;05 Apr 2019;6.34;20;22;139.6
;07 Apr 2019;5.3;1;1;5.3
;08 Apr 2019;18.63;36;45;838.5
;09 Apr 2019;10.4;18;22;228.9
;10 Apr 2019;14.3;15;16;228.8
;12 Apr 2019;6.97;13;13;90.66
;13 Apr 2019;9.69;16;20;193.9
;14 Apr 2019;10.72;18;20;214.5
;15 Apr 2019;10.28;30;36;370.2
;16 Apr 2019;7.81;14;18;140.6
;17 Apr 2019;10.12;15;16;161.8
;18 Apr 2019;12.58;21;25;314.6
;19 Apr 2019;5.46;13;14;76.39
;21 Apr 2019;6.46;10;12;77.48
;22 Apr 2019;8.45;33;39;329.6
;23 Apr 2019;7.38;22;24;177.0
;24 Apr 2019;14.14;18;23;325.2
;25 Apr 2019;21.55;19;20;431.0
;26 Apr 2019;12.92;14;15;193.7
;28 Apr 2019;8.57;20;20;171.3
;29 Apr 2019;7.61;36;40;304.5
;30 Apr 2019;15.12;18;19;287.2
;01 May 2019;23.7;23;27;639.8
;02 May 2019;10.32;15;16;165.1
;03 May 2019;7.53;13;13;97.91
;05 May 2019;14.49;13;15;217.3
;06 May 2019;11.11;20;24;266.7
;07 May 2019;12.02;38;47;564.7
;08 May 2019;10.36;12;12;124.3
;09 May 2019;23.91;20;23;550.0
;10 May 2019;15.45;7;7;108.1
;11 May 2019;10.34;17;22;227.4
;12 May 2019;12.24;9;9;110.1
;13 May 2019;12.22;26;38;464.4
;14 May 2019;6.92;23;25;172.9
;15 May 2019;9.21;10;13;119.7
;16 May 2019;8.38;16;19;159.3
;17 May 2019;10.19;15;17;173.2
;18 May 2019;10.48;13;14;146.8
;19 May 2019;5.43;2;3;16.28
;20 May 2019;7.52;24;29;218.1
;21 May 2019;16.21;22;25;405.4
;22 May 2019;5.58;14;15;83.72
;23 May 2019;8.63;26;30;258.9
;24 May 2019;7.38;18;22;162.5
;25 May 2019;9.42;18;23;216.6
;26 May 2019;13;3;4;52.01
;27 May 2019;9.3;29;34;316.3
;28 May 2019;9.21;17;19;175.1
;29 May 2019;11.71;25;32;374.7
;30 May 2019;11.02;10;10;110.2
;31 May 2019;24.35;16;18;438.4
;01 Jun 2019;10.6;23;29;307.3
;02 Jun 2019;45.02;8;11;495.2
;03 Jun 2019;7.43;1;1;7.43
;04 Jun 2019;7.43;31;34;252.6
;05 Jun 2019;11.52;18;20;230.4
